SiteID,site,veg_type,direction,gcc_value,transition_10,transition_25,transition_50
US-NC4,alligatorriver,DB,rising,gcc_90,4/6/13,4/10/13,4/16/13
US-NC4,alligatorriver,DB,rising,gcc_90,4/4/14,4/8/14,4/15/14
US-NC4,alligatorriver,DB,rising,gcc_90,4/6/15,4/11/15,4/18/15
US-NC4,alligatorriver,DB,rising,gcc_90,3/26/16,4/3/16,4/17/16
US-NC4,alligatorriver,DB,rising,gcc_90,4/2/17,4/7/17,4/14/17
US-NC4,alligatorriver,DB,rising,gcc_90,4/8/18,4/14/18,4/22/18
US-NC4,alligatorriver,DB,rising,gcc_90,4/1/19,4/6/19,4/12/19
US-NC4,alligatorriver,DB,rising,gcc_90,3/21/20,3/27/20,4/4/20
US-NC4,alligatorriver,DB,rising,gcc_90,3/29/21,4/3/21,4/10/21
US-NC4,alligatorriver,DB,falling,gcc_90,10/31/21,10/21/21,9/24/21
US-NC4,alligatorriver,DB,falling,gcc_90,10/26/20,10/11/20,9/21/20
US-NC4,alligatorriver,DB,falling,gcc_90,10/7/19,9/20/19,9/3/19
US-NC4,alligatorriver,DB,falling,gcc_90,10/25/18,10/19/18,9/26/18
US-NC4,alligatorriver,DB,falling,gcc_90,10/26/17,10/16/17,9/23/17
US-NC4,alligatorriver,DB,falling,gcc_90,10/20/16,10/14/16,10/2/16
US-NC4,alligatorriver,DB,falling,gcc_90,10/16/15,10/12/15,9/28/15
US-NC4,alligatorriver,DB,falling,gcc_90,10/20/14,10/11/14,9/21/14
US-NC4,alligatorriver,DB,falling,gcc_90,10/11/13,9/25/13,9/10/13
US-NC4,alligatorriver,DB,falling,gcc_90,10/16/12,10/10/12,9/16/12
US-Rws,arsgreatbasinltar098,SH,rising,gcc_90,3/18/19,3/24/19,4/2/19
US-Rws,arsgreatbasinltar098,SH,rising,gcc_90,3/2/20,3/12/20,4/2/20
US-Rws,arsgreatbasinltar098,SH,falling,gcc_90,7/19/21,7/5/21,6/18/21
US-Rws,arsgreatbasinltar098,SH,falling,gcc_90,8/11/19,7/19/19,7/6/19
US-Rws,arsgreatbasinltar098,SH,falling,gcc_90,8/21/18,7/27/18,7/8/18
US-Rws,arsgreatbasinltar098,SH,rising,gcc_90,4/11/23,4/19/23,5/2/23
US-Rws,arsgreatbasinltar098,SH,falling,gcc_90,9/24/23,8/3/23,7/11/23
US-Rms,arsgreatbasinltar177,SH,rising,gcc_90,5/9/19,5/19/19,6/13/19
US-Rms,arsgreatbasinltar177,SH,rising,gcc_90,5/18/20,5/24/20,6/1/20
US-Rms,arsgreatbasinltar177,SH,rising,gcc_90,5/11/21,6/1/21,6/14/21
US-Rms,arsgreatbasinltar177,SH,rising,gcc_90,5/15/22,5/24/22,6/3/22
US-Rms,arsgreatbasinltar177,SH,falling,gcc_90,10/1/21,9/16/21,8/21/21
US-Rms,arsgreatbasinltar177,SH,falling,gcc_90,10/14/20,9/28/20,9/2/20
US-Rms,arsgreatbasinltar177,SH,falling,gcc_90,10/5/19,9/22/19,8/20/19
US-Rms,arsgreatbasinltar177,SH,rising,gcc_90,5/15/23,5/23/23,5/31/23
US-Rms,arsgreatbasinltar177,SH,falling,gcc_90,10/4/23,9/19/23,9/1/23
US-Rms,arsgreatbasinltar177,SH,falling,gcc_90,10/4/22,9/25/22,9/7/22
US-SP1,austincary,EN,rising,gcc_90,3/8/16,3/21/16,5/29/16
US-SP1,austincary,EN,rising,gcc_90,7/23/18,7/29/18,8/14/18
US-SP1,austincary,EN,falling,gcc_90,10/25/17,10/21/17,10/13/17
US-NGB,barrow,TN,rising,gcc_90,6/25/14,7/5/14,7/18/14
US-NGB,barrow,TN,rising,gcc_90,6/16/16,6/21/16,6/30/16
US-NGB,barrow,TN,rising,gcc_90,6/29/17,7/5/17,7/14/17
US-NGB,barrow,TN,rising,gcc_90,7/11/18,7/15/18,7/22/18
US-NGB,barrow,TN,falling,gcc_90,9/6/17,9/2/17,8/27/17
US-NGB,barrow,TN,falling,gcc_90,9/1/16,8/28/16,8/23/16
US-NGB,barrow,TN,falling,gcc_90,8/26/15,8/22/15,8/15/15
US-Bi1,bouldinalfalfa,AG,rising,gcc_90,2/12/17,2/14/17,2/19/17
US-Bi1,bouldinalfalfa,AG,rising,gcc_90,3/1/19,3/15/19,3/19/19
US-Bi1,bouldinalfalfa,AG,rising,gcc_90,2/2/21,2/10/21,2/13/21
US-Bi1,bouldinalfalfa,AG,rising,gcc_90,4/8/23,4/12/23,4/18/23
US-Bi1,bouldinalfalfa,AG,falling,gcc_90,7/6/22,7/5/22,6/29/22
US-Bi1,bouldinalfalfa,AG,falling,gcc_90,12/21/20,12/18/20,12/13/20
US-Bi1,bouldinalfalfa,AG,falling,gcc_90,2/4/19,2/1/19,1/21/19
US-Bi2,bouldincorn,AG,rising,gcc_90,6/6/18,6/11/18,6/18/18
US-Bi2,bouldincorn,AG,rising,gcc_90,6/6/19,6/11/19,6/19/19
US-Bi2,bouldincorn,AG,rising,gcc_90,5/12/20,5/15/20,5/22/20
US-Bi2,bouldincorn,AG,rising,gcc_90,5/18/21,5/21/21,5/28/21
US-Bi2,bouldincorn,AG,rising,gcc_90,11/7/21,11/14/21,12/12/21
US-Bi2,bouldincorn,AG,rising,gcc_90,6/4/23,6/8/23,6/14/23
US-Bi2,bouldincorn,AG,falling,gcc_90,9/20/23,9/13/23,8/29/23
US-Bi2,bouldincorn,AG,falling,gcc_90,9/6/22,9/2/22,8/25/22
US-Bi2,bouldincorn,AG,falling,gcc_90,9/3/21,8/28/21,8/12/21
US-Bi2,bouldincorn,AG,falling,gcc_90,8/12/20,8/7/20,7/31/20
US-Bi2,bouldincorn,AG,falling,gcc_90,9/27/19,9/20/19,9/6/19
US-Bi2,bouldincorn,AG,falling,gcc_90,9/19/18,9/13/18,8/21/18
US-Bi2,bouldincorn,AG,falling,gcc_90,9/24/17,9/18/17,9/4/17
US-Bsg,burnssagebrush,SH,rising,gcc_90,3/10/13,3/21/13,4/4/13
US-Bsg,burnssagebrush,SH,rising,gcc_90,4/6/14,4/9/14,4/14/14
US-Bsg,burnssagebrush,SH,rising,gcc_90,2/14/16,3/17/16,3/31/16
US-Bsg,burnssagebrush,SH,rising,gcc_90,3/7/17,3/12/17,4/22/17
US-Bsg,burnssagebrush,SH,rising,gcc_90,3/16/19,4/11/19,4/22/19
US-Bsg,burnssagebrush,SH,falling,gcc_90,9/16/20,8/3/20,6/25/20
US-Bsg,burnssagebrush,SH,falling,gcc_90,8/19/18,8/11/18,6/21/18
US-Bsg,burnssagebrush,SH,falling,gcc_90,10/7/16,9/9/16,8/5/16
US-Bsg,burnssagebrush,SH,falling,gcc_90,10/21/15,9/3/15,8/11/15
US-Bsg,burnssagebrush,SH,falling,gcc_90,9/20/13,9/18/13,9/10/13
US-CdM,cedarmesa,EN,falling,gcc_90,11/16/23,11/3/23,10/7/23
US-CdM,cedarmesa,GR,falling,gcc_90,10/4/23,9/26/23,9/14/23
US-CdM,cedarmesa,SH,falling,gcc_90,10/14/23,10/1/23,9/6/23
US-CdM,cedarmesa,XX,falling,gcc_90,11/1/23,10/17/23,9/27/23
US-MOz,columbiamissouri,DB,rising,gcc_90,4/29/07,5/2/07,5/6/07
US-MOz,columbiamissouri,DB,falling,gcc_90,11/1/07,10/30/07,10/26/07
US-MOz,columbiamissouri,EN,rising,gcc_90,3/9/07,3/15/07,3/21/07
US-MOz,columbiamissouri,EN,rising,gcc_90,3/26/08,4/1/08,4/10/08
US-MOz,columbiamissouri,EN,falling,gcc_90,12/14/08,12/1/08,11/23/08
US-MOz,columbiamissouri,EN,falling,gcc_90,11/29/07,11/25/07,11/20/07
US-Cwt,coweeta,DB,rising,gcc_90,3/29/12,4/8/12,4/16/12
US-Cwt,coweeta,DB,rising,gcc_90,4/18/13,4/26/13,5/5/13
